Processors,Time,Speedup,Efficiency
1,0.028209,1.0,1.0
2,0.014211,1.9850116107240872,0.9925058053620436
3,0.010013,2.8172375911315295,0.9390791970438431
4,0.022319,1.263900712397509,0.31597517809937725
5,0.028207,1.0000709043854363,0.20001418087708728
6,0.034373,0.8206732028045268,0.1367788671340878
7,0.04069,0.6932661587613665,0.09903802268019522
8,0.004418,6.385015844273427,0.7981269805341784
9,0.003941,7.15782796244608,0.7953142180495645
10,0.003532,7.98669309173273,0.798669309173273
11,0.003013,9.362429472286758,0.8511299520260689
12,0.002792,10.103510028653295,0.8419591690544412
13,0.002602,10.841275941583397,0.8339443031987229
14,0.002477,11.388373031893419,0.8134552165638157
15,0.002301,12.259452411994785,0.8172968274663189
16,0.0126,2.238809523809524,0.13992559523809525
